Symbol,Category
IEMG,intl_equity
MUB,bond
SCHB,us_equity
SCHF,intl_equity
SCHD,us_equity
XLE,energy
TFI,bond
VIG,us_equity
VXUS,intl_equity
VWO,intl_equity
VEA,intl_equity
VTEB,bond
VTI,us_equity
VMFXX,cash
